,Date,User,Tweet
124,2023-02-26 19:10:08+00:00,swallowhitam1,"Permukaan yang bagus untuk tsunami trofi #MU
#ManchesterUnited
#ErikTenHag"
125,2023-02-26 19:09:15+00:00,hipauuuu,Aduh takut sama MU bakal tsunami gelar
126,2023-02-26 19:07:18+00:00,uneeennn,"Seneng udah gini tuh, liatin bacotan fans MU yang udah lama di tahan tahan😋

Ini buat bmkg tolong ya, udah ada 1 tanda tanda tsunami trofi"
127,2023-02-26 19:07:10+00:00,derar__,"ini ada gak sih lawan yang lebih sebanding sama emyu? perasaan kok ez gaming gini padahal ini final, lho.
bayer muncen, psg, madrid, al nasr suruh pindah aja biar lawannya sepadan sama king emyu tsunami trophy is raeeeeellll.
👹💥"
128,2023-02-26 19:06:55+00:00,riskyalvin_,Getaran gelombang tsunami sudah mulai terasa!🔴
129,2023-02-26 19:06:27+00:00,intantooktav,Belum siap tsunami trophy
130,2023-02-26 19:04:54+00:00,Daffaarr9,"Apakah tsunami trophy is real?
Fak gg bgt erik ten hag"
131,2023-02-26 19:02:33+00:00,aguung_es,"perlahan-lahan aja, semoga tetep keep on the track. gue udh siap menyambut tsunami trophy ni @ManUtd_ID"
132,2023-02-26 19:01:26+00:00,firby_,tolong untuk BMKG sudah ada tanda tanda tsunami trofi kemenangan
133,2023-02-26 19:00:46+00:00,prayogilr,Tolong sepertinya ada tanda2 akan terjadi tsunami trofi di kota Manchester @qyoyok
134,2023-02-26 19:00:41+00:00,Naufalamarr,sudah saatnya mempersiapkan diri. tsunami thropy telah dimulai🏆 #ggmu
135,2023-02-26 19:00:07+00:00,Gochinnnn,"Berawal dari ciki, lama-lama jadi tsunami! #GGMU"
136,2023-02-26 19:00:00+00:00,um_fess,UM! Gempa kecil berpotensi tsunami sudah terlihat di kota manchester gais. otw Tsunami trophy 🔴
137,2023-02-26 18:59:49+00:00,buluquduq,awas tsunami trofi
138,2023-02-26 18:59:38+00:00,ariskimorison,Carabao Cup done. Semoga jadi pembuka tsunami trophy. Siuuuu...
139,2023-02-26 18:59:30+00:00,ciummatahari,"Alarm gemoa kecil sudah terdengar, bentar lagi bakal ada tsunami thropy👉😬"
140,2023-02-26 18:59:29+00:00,nadaarizki,Anjay emyuuu ini awal dari tsunami tropiii rispekkk
141,2023-02-26 18:57:59+00:00,BPrahastaa,"Bisa yo tsunami trophy, ada 3 lagi nih target biar quadruple wkwk"
142,2023-02-26 18:57:43+00:00,uzanxiety,"guardiola musim pertama? nihil
klopp musim pertama? nihil
ten hag musim pertama? 7 bulan 1 trophy otw tsunami nih gaezzzz 🥶🥶👍🥶"
143,2023-02-26 18:57:23+00:00,netixyenn,gelombang pertama tsunami trophy
144,2023-02-26 18:56:50+00:00,saud_berutu,"Now I can tweet:
""Siap-siap tsunami trofi dari Manchester Merah"""
145,2023-02-26 18:56:48+00:00,justdenny,Ini baru awal dari tsunami trophy @ManUtd  🏆🥇🏅
146,2023-02-26 18:56:42+00:00,faiqalizma,Ini namanya pembukaan tsunami trophy.
147,2023-02-26 18:55:56+00:00,ananriz,waktunya tsunami tropi bre
148,2023-02-26 18:55:29+00:00,rafimohamadd,Awal dari tsunami tropi 😁🤫🏆🏆🏆
149,2023-02-26 18:55:17+00:00,tslji,BMKG tolong ini udah ada tanda2 tsunami trophy 🏆
